redshift,stellar_mass,deVRad_r,deVAB_r,expRad_r,expAB_r,class,class_label
0.095229,10.470294,3.841554,0.92971,1.926971,0.919633,1,spiral
0.135105,10.774376,4.140665,0.316291,2.327631,0.341814,1,spiral
0.018701,10.882275,11.244653,0.836119,8.868671,0.815532,0,elliptical
0.094602,10.424679,9.89187,0.792031,3.973423,0.804009,1,spiral
0.060892,9.77772,2.879566,0.211917,2.030806,0.237804,1,spiral
0.107026,10.435664,5.708477,0.232526,3.011909,0.271889,1,spiral
0.026116,9.642624,23.82995,0.135894,10.784065,0.132242,1,spiral
0.038697,11.322869,11.85518,0.849431,8.725761,0.782784,0,elliptical
0.067794,10.152528,4.81158,0.317268,2.617536,0.356688,1,spiral
0.106217,10.283821,4.659235,0.75,2.276472,0.775349,1,spiral
0.163249,11.047703,3.229098,0.393144,1.978505,0.418303,1,spiral
0.025948,9.899106,1.904515,0.661172,1.531157,0.657359,0,elliptical
0.033737,9.257128,12.318075,0.282722,5.93888,0.285102,1,spiral
0.085166,10.97976,27.658794,0.120982,11.102932,0.129215,1,spiral
0.101873,10.62359,5.825648,0.110039,3.50906,0.116494,1,spiral
0.096806,11.310566,9.714564,0.362864,3.851157,0.387782,1,spiral
0.102554,10.855143,12.120062,0.198395,5.209956,0.220139,1,spiral
0.134678,11.014265,1.977966,0.622631,1.21442,0.664689,1,spiral
0.123911,10.972071,2.090058,0.356653,1.563,0.391494,1,spiral
0.118708,10.680218,3.47012,0.255245,2.093521,0.306848,1,spiral
0.252135,11.350921,1.710423,0.904169,1.160701,0.893686,0,elliptical
0.095988,11.198216,0.833991,0.890738,0.902691,0.910759,0,elliptical
0.110493,11.435851,3.057959,0.725599,2.214564,0.670565,0,elliptical
0.132874,11.386725,3.850473,0.890346,1.939648,0.919833,0,elliptical
0.106391,10.554961,8.013004,0.438417,3.589551,0.450769,1,spiral
0.125207,10.967196,8.764093,0.162107,4.303378,0.190407,1,spiral
0.071184,9.706417,8.691351,0.183547,3.734313,0.234936,1,spiral
0.081278,9.916661,4.600064,0.293561,2.420954,0.341947,1,spiral
0.072516,10.335405,4.107433,0.232548,2.407064,0.278314,1,spiral
0.039376,10.045878,1.524487,0.709427,1.030034,0.752215,0,elliptical
0.12772,10.919725,5.544148,0.154442,3.072011,0.186912,1,spiral
0.026263,8.776378,18.180727,0.182003,7.378674,0.199935,1,spiral
0.129665,11.115196,2.479349,0.685492,1.490042,0.631752,1,spiral
0.241096,11.737314,3.08944,0.768001,1.549184,0.788743,0,elliptical
0.067168,10.907331,2.223107,0.87947,1.320394,0.930685,0,elliptical
0.129321,11.818472,4.325134,0.819134,2.033508,0.82011,0,elliptical
0.120214,10.906086,1.789601,0.866041,1.026472,0.877903,0,elliptical
0.08816,10.189775,5.724074,0.381316,2.711718,0.423492,1,spiral
0.19798,11.335787,1.155128,0.753728,0.811375,0.770105,0,elliptical
0.038549,10.644776,12.056361,0.578326,7.146364,0.487364,1,spiral
0.083635,10.979264,5.819124,0.343076,3.095897,0.370207,1,spiral
0.055447,10.29494,4.792079,0.270671,2.671033,0.310719,1,spiral
0.117779,11.184792,2.915132,0.813777,1.580652,0.811018,0,elliptical
0.118774,10.857614,5.115956,0.807377,2.542683,0.811979,1,spiral
0.109161,10.630525,1.847416,0.322114,1.518005,0.374105,1,spiral
0.037648,10.811945,10.171743,0.285008,6.283617,0.284135,1,spiral
0.10648,11.402795,4.580521,0.779125,2.423521,0.768527,0,elliptical
0.108017,9.738543,5.861634,0.555143,2.631777,0.588156,1,spiral
0.134944,11.100867,6.381579,0.358913,3.212884,0.384085,1,spiral
0.04118,9.960821,18.115025,0.571763,7.126598,0.542495,1,spiral
0.075831,10.53339,13.058994,0.10988,5.825248,0.142638,1,spiral
0.10367,10.747966,4.247345,0.151858,2.685405,0.200393,1,spiral
0.098364,11.255495,6.309378,0.615558,3.037108,0.616767,0,elliptical
0.147803,10.842388,2.743508,0.621021,1.529981,0.670711,1,spiral
0.075884,10.334661,4.533284,0.562739,2.411586,0.611802,1,spiral
0.100024,10.874234,7.047504,0.200359,3.980752,0.209496,1,spiral
0.072867,10.325224,13.19215,0.326333,5.313005,0.345038,1,spiral
0.07329,9.964748,14.607284,0.174034,5.357743,0.215504,1,spiral
0.14161,10.96606,1.929407,0.300004,1.50184,0.333658,1,spiral
0.151045,11.066281,5.921327,0.954909,2.783999,0.941661,1,spiral
0.109313,10.821775,6.272611,0.761879,2.917104,0.781534,1,spiral
0.063404,10.998644,8.542603,0.828557,4.974754,0.835966,1,spiral
0.071502,11.023134,8.4344,0.227039,4.165458,0.270158,1,spiral
0.02454,10.133225,7.93661,0.746734,4.481342,0.725497,0,elliptical
0.13021,11.447923,3.873724,0.893121,1.972371,0.904671,0,elliptical
0.069198,10.152032,8.729359,0.138186,4.248237,0.176815,1,spiral
0.129693,11.087157,2.626822,0.738288,1.791066,0.6715,1,spiral
0.104684,10.110053,14.855114,0.590559,4.558921,0.604244,1,spiral
0.133073,11.050278,9.505687,0.087171,5.033916,0.112893,1,spiral
0.209208,11.592712,3.931883,0.820428,2.284272,0.823531,0,elliptical
0.102599,10.985533,4.342269,0.264411,2.451336,0.298833,1,spiral
0.024777,10.195847,8.253721,0.344354,4.534907,0.339131,1,spiral
0.058395,10.315172,5.461733,0.350429,3.090997,0.385947,1,spiral
0.094134,10.497757,7.826362,0.575532,3.365881,0.579704,1,spiral
0.093937,10.577669,1.442356,0.629045,1.141658,0.643247,0,elliptical
0.07634,10.411998,6.37426,0.249985,3.266072,0.284904,1,spiral
0.037304,9.726856,19.119982,0.572512,6.75228,0.599618,1,spiral
0.0391,10.125954,1.896336,0.847791,1.301062,0.832552,0,elliptical
0.042284,10.524911,3.252824,0.672114,2.325382,0.651963,0,elliptical
0.085455,10.705275,4.493551,0.409824,2.675692,0.435949,1,spiral
0.068822,9.935216,6.678429,0.192769,3.304948,0.249993,1,spiral
0.024912,9.80332,29.666571,0.846061,12.891517,0.805798,1,spiral
0.100849,10.424762,10.217607,0.70892,3.92438,0.701987,1,spiral
0.072648,11.238332,4.378671,0.746829,2.818659,0.715504,0,elliptical
0.102252,11.1168,3.680091,0.700922,1.952445,0.729416,0,elliptical
0.105115,11.381464,3.986666,0.920187,2.014064,0.968003,0,elliptical
0.10095,11.003386,4.859751,0.214566,2.957873,0.263419,1,spiral
0.074804,10.470439,3.055062,0.249996,2.022358,0.301139,1,spiral
0.049721,10.461344,12.320265,0.242545,5.751163,0.234526,1,spiral
0.075569,11.161755,8.178457,0.299989,4.5169,0.327971,1,spiral
0.096819,10.206662,4.316564,0.910117,2.218276,0.894324,1,spiral
0.123831,10.916444,6.342628,0.249931,3.056053,0.29753,1,spiral
0.10228,10.707617,1.529968,0.231503,1.267604,0.284756,1,spiral
0.122513,10.825242,4.266671,0.36609,2.268183,0.411997,1,spiral
0.100665,10.749136,3.88311,0.327618,2.392515,0.35824,1,spiral
0.131734,10.826375,2.569084,0.937128,1.489808,0.909127,1,spiral
0.212459,11.519512,1.923161,0.843677,1.217193,0.824197,0,elliptical
0.099974,10.597419,6.372622,0.736841,2.885285,0.738196,1,spiral
0.135211,11.24387,4.349478,0.486518,2.385085,0.515986,1,spiral
0.194545,11.277438,1.42573,0.999891,0.988934,0.984534,0,elliptical
0.029672,10.214819,3.423882,0.81821,2.830806,0.80836,0,elliptical
0.141767,10.599411,4.526067,0.765031,2.093612,0.799848,1,spiral
0.152735,11.245301,5.082858,0.386166,2.607938,0.418338,1,spiral
0.105219,11.137341,7.326033,0.43784,3.88396,0.396599,1,spiral
0.061463,9.961642,16.763653,0.850706,5.659444,0.816896,1,spiral
0.154008,11.070984,1.718221,0.732201,1.041716,0.788613,1,spiral
0.037857,9.664905,26.327717,0.430918,8.042806,0.438191,1,spiral
0.13175,10.925661,6.909292,0.646295,3.088127,0.638002,1,spiral
0.097856,10.815941,5.347044,0.622285,2.902939,0.608684,1,spiral
0.10861,10.516878,3.653991,0.31665,2.147985,0.340026,1,spiral
0.122611,10.802168,1.256504,0.722576,0.953434,0.7326,1,spiral
0.100158,10.361551,13.643656,0.273438,4.932636,0.322084,1,spiral
0.113121,10.87712,4.550731,0.203492,2.519311,0.260493,1,spiral
0.064921,10.870289,6.738791,0.725575,3.734077,0.708746,1,spiral
0.126277,10.780379,6.07923,0.312342,2.859838,0.36636,1,spiral
0.144896,11.15471,4.388634,0.183277,2.91028,0.245597,1,spiral
0.083992,10.864928,3.352207,0.38983,2.055161,0.433324,1,spiral
0.241819,11.519947,3.131973,0.786754,1.522547,0.810799,0,elliptical
0.202481,11.39811,2.285491,0.739344,1.222631,0.783287,0,elliptical
0.025185,8.826767,11.041889,0.331028,4.169453,0.371524,1,spiral
0.091604,10.410638,8.325903,0.149962,4.155698,0.199964,1,spiral
0.089781,11.323681,3.160263,0.881877,1.917827,0.89414,0,elliptical
